name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,award_id,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff
Richard Letts,Male,Yes,AM,NSW,1996-01-25,1996,Pre,https://en.wikipedia.org/wiki/Richard_Letts,23923355,869827,2009-08-10,1996-01-25,2009,1996,Member of the Order of Australia,Australia Day 1996 Honours List,G,FOR SERVICE TO MUSIC AS AN ADMINISTRATOR AND CONSULTANT. AUST DAY 1996,"Australian music advocate, administrator and consultant",1,2001-01-15,2001,2009,3129,8,2009-W33,2001-W03,447
Richard Lewis (Australian politician),Male,Yes,AM,WA,2019-01-25,2019,Post,https://en.wikipedia.org/wiki/Richard_Lewis_(Australian_politician),50395558,2003340,2016-05-02,2019-01-25,2016,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,"For significant service to the Parliament of Western Australia, and to the community.",Australian politician,1,2019-01-25,2019,2016,-998,-3,2016-W18,2019-W04,-143
Richard McGarvie,Male,Yes,AC,VIC,1994-06-09,1994,Pre,https://en.wikipedia.org/wiki/Richard_McGarvie,1379885,882332,2005-01-10,1994-06-09,2005,1994,Companion of the Order of Australia,The Queen's Birthday 1994 Honours List,G,"AC/FOR SERVICE TO THE CROWN AS GOVERNOR OF VICTORIA, TO THE LAW AND TO THE COMMUNITY. QUEEN'S B'DAY 1994",judge in the Supreme Court of Victoria and Governor of Victoria from 1992 to 1997,1,2001-01-15,2001,2005,1456,4,2005-W02,2001-W03,208
Richard Meale,Male,Yes,AM,SA,1985-01-25,1985,Pre,https://en.wikipedia.org/wiki/Richard_Meale,3698531,869884,2006-01-13,1985-01-25,2006,1985,Member of the Order of Australia,Australia Day 1985 Honours List,G,AM AD 85. FOR SERVICE TO MUSIC. MBE QB 1971 COM,Australian composer,1,2001-01-15,2001,2006,1824,5,2006-W02,2001-W03,260
Richard Menhinick,Male,Yes,AM,ACT,2012-01-25,2012,Post,https://en.wikipedia.org/wiki/Richard_Menhinick,37157245,1145195,2012-09-29,2012-01-25,2012,2012,Member of the Order of Australia,Australia Day 2012 Honours List,M,For exceptional service to the Royal Australian Navy as Director General Navy Transformation and Innovation and Commandant of the Australian Command and Staff College.,Commandant of the Australian Command and Staff College,1,2012-01-25,2012,2012,248,0,2012-W39,2012-W04,35
Richard Mills (composer),Male,Yes,AM,VIC,1999-01-25,1999,Pre,https://en.wikipedia.org/wiki/Richard_Mills_(composer),4962949,869879,2006-05-01,1999-01-25,2006,1999,Member of the Order of Australia,Australia Day 1999 Honours List,G,"FOR SERVICE TO MUSIC, PARTICULARLY AS A COMPOSER. AM S16 1999",Australian conductor and composer,1,2001-01-15,2001,2006,1932,5,2006-W18,2001-W03,276
Richard Oliver (Paralympian),Male,Yes,OAM,SA,1997-01-25,1997,Pre,https://en.wikipedia.org/wiki/Richard_Oliver_(Paralympian),33031470,887478,2011-09-09,1997-01-25,2011,1997,Medal of the Order of Australia,Australia Day 1997 Honours List,G,"OAM. FOR SERVICE TO SPORT AS A GOLD MEDALLIST AT THE ATLANTA PARALYMPIC GAMES, 1996. GAZ S13. AUST DAY 1997",Australian Paralympic athlete and wheelchair basketball player,1,2001-01-15,2001,2011,3889,10,2011-W36,2001-W03,555
Richard Pestell,Male,Yes,AO,Other,2019-06-09,2019,Post,https://en.wikipedia.org/wiki/Richard_Pestell,8165504,2004645,2006-11-29,2019-06-09,2006,2019,Officer of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For distinguished service to medicine, and to medical education, as a researcher and physician in the fields of endocrinology and oncology.",American oncologist,1,2019-06-09,2019,2006,-4575,-13,2006-W48,2019-W23,-654
Richard Schodde,Male,Yes,OAM,ACT,2009-06-07,2009,Post,https://en.wikipedia.org/wiki/Richard_Schodde,22637112,1141292,2009-05-01,2009-06-07,2009,2009,Medal of the Order of Australia,The Queen's Birthday 2009 Honours List,G,"For service to science, particularly in the field of ornithology.",Australian botanist and ornithologist,1,2009-06-07,2009,2009,-37,0,2009-W18,2009-W23,-6
Richard Scolyer,Male,Yes,AO,NSW,2021-06-13,2021,Post,https://en.wikipedia.org/wiki/Richard_Scolyer,53357027,2009263,2017-03-02,2021-06-13,2017,2021,Officer of the Order of Australia,The Queen's Birthday 2021 Honours List,G,"For distinguished service to medicine, particularly in the field of melanoma and skin cancer,¬†and to national and international professional organisations.",pathologist and melanoma researcher,1,2021-06-13,2021,2017,-1564,-4,2017-W09,2021-W23,-224
Richard Scotton,Male,Yes,AO,VIC,2000-06-11,2000,Pre,https://en.wikipedia.org/wiki/Richard_Scotton,14780626,1136585,2007-12-19,2000-06-11,2007,2000,Officer of the Order of Australia,The Queen's Birthday 2000 Honours List,G,"For service to social reform as a leading health economist and policy analyst, particularly through the development of the Medibank scheme.",Australian economist (1930-2019),1,2001-01-15,2001,2007,2529,6,2007-W51,2001-W03,361
Richard Searby,Male,Yes,AO,VIC,2006-06-11,2006,Post,https://en.wikipedia.org/wiki/Richard_Searby,4938583,1132837,2006-04-29,2006-06-11,2006,2006,Officer of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to education, particularly as Chancellor of Deakin University, to the community as a contributor to the programs of major cultural institutions, and to business and the law.",Australian lawyer,1,2006-06-11,2006,2006,-43,0,2006-W17,2006-W23,-7
Richard Shine,Male,Yes,AM,NSW,2005-06-12,2005,Post,https://en.wikipedia.org/wiki/Richard_Shine,31097370,1136032,2011-03-06,2005-06-12,2011,2005,Member of the Order of Australia,The Queen's Birthday 2005 Honours List,G,"For service to science in the field of herpetology as a researcher and educator, and through contributions to a range of Australian and international herpetological organisations and publications.",Australian scientist,1,2005-06-12,2005,2011,2093,6,2011-W09,2005-W23,299
Richard Smallwood (doctor),Male,Yes,AO,VIC,1997-06-08,1997,Pre,https://en.wikipedia.org/wiki/Richard_Smallwood_(doctor),64262856,883623,2020-06-13,1997-06-08,2020,1997,Officer of the Order of Australia,The Queen's Birthday 1997 Honours List,G,"FOR SERVICE TO MEDICINE, PARTICULARLY IN THE FIELD OF GASTROENTEROLOGY, TO RESEARCH THROUGH THE NATIONAL HEALTH AND MEDICAL RESEARCH COUNCIL, AND TO  EDUCATION. AO S191 1997",Australian doctor and public servant,1,2001-01-15,2001,2020,7089,19,2020-W24,2001-W03,1012
Richard Smith (diplomat),Male,Yes,AM,ACT,1997-06-08,1997,Pre,https://en.wikipedia.org/wiki/Richard_Smith_(diplomat),36733105,885286,2012-08-16,1997-06-08,2012,1997,Member of the Order of Australia,The Queen's Birthday 1997 Honours List,G,"FOR SERVICE TO INTERNATIONAL RELATIONS, PARTICULARLY IN THE AREAS OF COMMERCE AND TRADE. AM S191 1997",Australian diplomat (1934-2015),1,2001-01-15,2001,2012,4231,11,2012-W33,2001-W03,604
Richard Tognetti,Male,Yes,AO,NSW,2010-01-25,2010,Post,https://en.wikipedia.org/wiki/Richard_Tognetti,6865401,1141710,2006-09-06,2010-01-25,2006,2010,Officer of the Order of Australia,Australia Day 2010 Honours List,G,"For service to music through leadership of the Australian Chamber Orchestra, as an internationally acclaimed violinist, through the development and promotion of educational programs for children, support for emerging artists and contributions to charitable organisations.","Australian violinist, composer and conductor",1,2010-01-25,2010,2006,-1237,-4,2006-W36,2010-W04,-177
Richard Tracey (judge),Male,Yes,AM,VIC,2014-01-25,2014,Post,https://en.wikipedia.org/wiki/Richard_Tracey_(judge),62053541,1149018,2019-10-14,2014-01-25,2019,2014,Member of the Order of Australia,Australia Day 2014 Honours List,M,"For exceptional service in the field of military law, as a consultant for the Director of Army Legal Services, and as Judge Advocate General of the Australian Defence Force.",Australian judge,1,2014-01-25,2014,2019,2088,5,2019-W42,2014-W04,298
Richard Walley,Male,Yes,OAM,WA,1993-06-12,1993,Pre,https://en.wikipedia.org/wiki/Richard_Walley,5425917,873640,2006-06-05,1993-06-12,2006,1993,Medal of the Order of Australia,The Queen's Birthday 1993 Honours List,G,"OAM/FOR SERVICE TO THE PERFORMING ARTS AND TO THE PROMOTION OF THE CULTURE OF THE SOUTH WESTERN ABORIGINALS, THE NYOONGAHS. QUEENS B'DAY 1993 GD",Indigenous Australian performer,1,2001-01-15,2001,2006,1967,5,2006-W23,2001-W03,281
Richard Wherrett,Male,Yes,AM,NSW,1984-01-25,1984,Pre,https://en.wikipedia.org/wiki/Richard_Wherrett,12416179,869971,2007-07-24,1984-01-25,2007,1984,Member of the Order of Australia,Australia Day 1984 Honours List,G,AM AD84. FOR SERVICE TO THE THEATRE AS A PRODUCER AND DIRECTOR,Australian theatre director,1,2001-01-15,2001,2007,2381,6,2007-W30,2001-W03,340
Richard Wilkins (TV presenter),Male,Yes,AM,NSW,2014-06-08,2014,Post,https://en.wikipedia.org/wiki/Richard_Wilkins_(TV_presenter),3546126,1150137,2005-12-28,2014-06-08,2005,2014,Member of the Order of Australia,The Queen's Birthday 2014 Honours List,G,"For significant service to the community through a range of charities, and to the entertainment industry.",Australian television presenter,1,2014-06-08,2014,2005,-3084,-9,2005-W52,2014-W23,-441
Richard Wilson (general),Male,Yes,AO,QLD,2009-01-25,2009,Post,https://en.wikipedia.org/wiki/Richard_Wilson_(general),17289450,1139671,2008-05-06,2009-01-25,2008,2009,Officer of the Order of Australia,Australia Day 2009 Honours List,M,"For distinguished service to the Australian Army in the fields of force structure, personnel training and operations, particularly as Commander Training Command - Army and as the Commander of the 1st Division.",senior officer in the Australian Army,1,2009-01-25,2009,2008,-264,-1,2008-W19,2009-W04,-38
Richard Woolcott,Male,Yes,AC,ACT,1985-06-09,1985,Pre,https://en.wikipedia.org/wiki/Richard_Woolcott,14752595,885279,2007-12-18,1993-06-12,2007,1993,Companion of the Order of Australia,The Queen's Birthday 1993 Honours List,G,AC/FOR SERVICE TO INTERNATIONAL RELATIONS AND TO ASIA PACIFIC ECONOMIC CO-OPERATION. QUEENS B'DAY 1993 GD. AO/FOR SERVICE AS DIPLOMATIC REP,Australian diplomat (1927–2023),2,2001-01-15,2001,2007,2528,6,2007-W51,2001-W03,361
Richard de Crespigny,Male,Yes,AM,NSW,2016-01-25,2016,Post,https://en.wikipedia.org/wiki/Richard_de_Crespigny,29868425,1152722,2010-12-03,2016-01-25,2010,2016,Member of the Order of Australia,Australia Day 2016 Honours List,G,"For significant service to the aviation industry both nationally and internationally, particularly to flight safety, and to the community.",Australian pilot and author,1,2016-01-25,2016,2010,-1879,-6,2010-W48,2016-W04,-269
Rick Allert,Male,Yes,AO,SA,1997-06-08,1997,Pre,https://en.wikipedia.org/wiki/Rick_Allert,5901899,1138589,2006-07-10,2008-06-08,2006,2008,Officer of the Order of Australia,The Queen's Birthday 2008 Honours List,G,"For service to the business sector through visionary leadership and promotion of corporate social responsibilty, and to the community through involvement with and support for a range of artistic, charitable and educational organisations.",Australian businessman,2,2001-01-15,2001,2006,2002,5,2006-W28,2001-W03,286
Rick Burr,Male,Yes,AO,ACT,2018-01-25,2018,Post,https://en.wikipedia.org/wiki/Rick_Burr,32678229,2000880,2011-08-08,2018-01-25,2011,2018,Officer of the Order of Australia,Australia Day 2018 Honours List,M,For distinguished service in the implementation of significant reform and the realisation of strategic capabilities within the Australian Defence Force.,senior officer in the Australian Army,1,2018-01-25,2018,2011,-2362,-7,2011-W32,2018-W04,-338
Rick McCosker,Male,Yes,OAM,NSW,1984-06-10,1984,Pre,https://en.wikipedia.org/wiki/Rick_McCosker,2872165,886767,2005-10-10,1984-06-10,2005,1984,Medal of the Order of Australia,The Queen's Birthday 1984 Honours List,G,For service to the sport of cricket.,Australian cricketer,1,2001-01-15,2001,2005,1729,4,2005-W41,2001-W03,247
Rick Pendleton,Male,Yes,OAM,NSW,2009-01-25,2009,Post,https://en.wikipedia.org/wiki/Rick_Pendleton,33300667,1140093,2011-10-04,2009-01-25,2011,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Paralympic Games.,Australian Paralympic swimmer,1,2009-01-25,2009,2011,982,2,2011-W40,2009-W04,140
Ricky Grace,Male,Yes,AM,WA,2019-06-09,2019,Post,https://en.wikipedia.org/wiki/Ricky_Grace,3665514,2004244,2006-01-09,2019-06-09,2006,2019,Member of the Order of Australia,Queen's Birthday 2019 Honours List,G,For significant service to the Indigenous community of Western Australia.,American-Australian basketball player,1,2019-06-09,2019,2006,-4899,-13,2006-W02,2019-W23,-700
Ricky Ponting,Male,Yes,AO,NSW,2012-01-25,2012,Post,https://en.wikipedia.org/wiki/Ricky_Ponting,462001,1145066,2004-02-09,2012-01-25,2004,2012,Officer of the Order of Australia,Australia Day 2012 Honours List,G,"For distinguished service to the sport of cricket as a leading player at the national and international level, and to the community through the establishment of the Ponting Foundation.",Australian cricketer,1,2012-01-25,2012,2004,-2907,-8,2004-W07,2012-W04,-416
Rob Atkinson (surgeon),Male,Yes,AM,SA,2008-06-08,2008,Post,https://en.wikipedia.org/wiki/Rob_Atkinson_(surgeon),41806205,1138615,2014-02-01,2008-06-08,2014,2008,Member of the Order of Australia,The Queen's Birthday 2008 Honours List,G,For service to medicine as an orthopaedic surgeon and through contributions to professional associations.,Australian surgeon,1,2008-06-08,2008,2014,2064,6,2014-W05,2008-W23,294
Rob Borbidge,Male,Yes,AO,QLD,2006-01-25,2006,Post,https://en.wikipedia.org/wiki/Rob_Borbidge,951421,1131293,2004-09-02,2006-01-25,2004,2006,Officer of the Order of Australia,Australia Day 2006 Honours List,G,"For service to economic development in Queensland through promoting business and investment opportunities, the initiation of major infrastructure projects, and attracting internationally acclaimed events; and to the community, particularly through support for biomedical research and educational organisations.",Australian politician,1,2006-01-25,2006,2004,-510,-2,2004-W36,2006-W04,-73
Rob Hulls,Male,Yes,AM,VIC,2021-06-13,2021,Post,https://en.wikipedia.org/wiki/Rob_Hulls,3728614,2009351,2006-01-15,2021-06-13,2006,2021,Member of the Order of Australia,The Queen's Birthday 2021 Honours List,G,"For significant service to the people and Parliament of Victoria,¬†and to the law.",Australian politician,1,2021-06-13,2021,2006,-5628,-15,2006-W02,2021-W23,-804
Rob Johnson (Australian politician),Male,Yes,OAM,WA,2019-01-25,2019,Post,https://en.wikipedia.org/wiki/Rob_Johnson_(Australian_politician),5186993,2003342,2006-05-18,2019-01-25,2006,2019,Medal of the Order of Australia,Australia Day 2019 Honours List,G,For service to the Parliament and community of Western Australia.,Australian politician (born 1943),1,2019-01-25,2019,2006,-4635,-13,2006-W20,2019-W04,-663
Rob Morrison (scientist),Male,Yes,OAM,SA,2004-01-25,2004,Post,https://en.wikipedia.org/wiki/Rob_Morrison_(scientist),52761629,1056343,2017-01-03,2004-01-25,2017,2004,Medal of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to conservation and the environment, and to the fields of science education and communication.",Australian zoological researcher and science communicator,1,2004-01-25,2004,2017,4727,13,2017-W01,2004-W04,675
Rob Mundle,Male,Yes,OAM,QLD,2013-06-09,2013,Post,https://en.wikipedia.org/wiki/Rob_Mundle,64483139,1148171,2020-07-07,2013-06-09,2020,2013,Medal of the Order of Australia,The Queen's Birthday 2013 Honours List,G,"For service to sailing, and to journalism.","Australian yachtsman, maritime commentator and author",1,2013-06-09,2013,2020,2585,7,2020-W28,2013-W23,369
Robbie McEwen,Male,Yes,AM,QLD,2017-01-25,2017,Post,https://en.wikipedia.org/wiki/Robbie_McEwen,1484348,1154753,2005-02-09,2017-01-25,2005,2017,Member of the Order of Australia,Australia Day 2017 Honours List,G,"For significant service to cycling at the national and international level as a competitor, coach, and advisor, and to the community.",Australian cyclist,1,2017-01-25,2017,2005,-4368,-12,2005-W06,2017-W04,-624
Robert Allman,Male,Yes,AM,NSW,1992-06-07,1992,Pre,https://en.wikipedia.org/wiki/Robert_Allman,33775071,869954,2011-11-17,1992-06-07,2011,1992,Member of the Order of Australia,The Queen's Birthday 1992 Honours List,G,"In recognition of service to the performing arts, particularly opera",Australian operatic singer,1,2001-01-15,2001,2011,3958,10,2011-W46,2001-W03,565
Robert Allworth,Male,Yes,OAM,NSW,1997-01-25,1997,Pre,https://en.wikipedia.org/wiki/Robert_Allworth,56774762,875057,2018-03-07,1997-01-25,2018,1997,Medal of the Order of Australia,Australia Day 1997 Honours List,G,In recognition of service to music as a composer and as an advocate of other Australian composer's works,Australian composer (1943-2017),1,2001-01-15,2001,2018,6260,17,2018-W10,2001-W03,894
Robert Bell (artist and curator),Male,Yes,AM,ACT,2010-06-13,2010,Post,https://en.wikipedia.org/wiki/Robert_Bell_(artist_and_curator),58276387,1142631,2018-08-26,2010-06-13,2018,2010,Member of the Order of Australia,The Queen's Birthday 2010 Honours List,G,"For service to contemporary craft and design as a curator and advocate, and to the Art Gallery of Western Australia and the National Gallery of Australia.",Australian artist and curator,1,2010-06-13,2010,2018,2996,8,2018-W34,2010-W23,428
Robert Champion de Crespigny,Male,Yes,AC,SA,2002-06-09,2002,Post,https://en.wikipedia.org/wiki/Robert_Champion_de_Crespigny,5783406,1040406,2006-07-01,2002-06-09,2006,2002,Companion of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to the mining industry, to business, and to the community in the areas of cultural preservation and education.",Australian businessman,1,2002-06-09,2002,2006,1483,4,2006-W26,2002-W23,211
Robert Clancy (doctor),Male,Yes,AM,NSW,2005-06-12,2005,Post,https://en.wikipedia.org/wiki/Robert_Clancy_(doctor),20145591,1135928,2008-11-10,2005-06-12,2008,2005,Member of the Order of Australia,The Queen's Birthday 2005 Honours List,G,"For service to cartography as a collector and curator of early maps of Australia, and to medicine in the field of immunology.",Australian immunologist,1,2005-06-12,2005,2008,1247,3,2008-W46,2005-W23,178
Robert Clark (physicist),Male,Yes,AO,NSW,2013-01-25,2013,Post,https://en.wikipedia.org/wiki/Robert_Clark_(physicist),47119138,1146695,2015-07-01,2013-01-25,2015,2013,Officer of the Order of Australia,Australia Day 2013 Honours List,G,For distinguished service to science and technology through leadership and governance of the scientific community of the Australian Defence Force and through contributions to quantum computing and nanotechnology.,Australian physicist,1,2013-01-25,2013,2015,887,2,2015-W27,2013-W04,126
Robert Cornall,Male,Yes,AO,ACT,2006-01-25,2006,Post,https://en.wikipedia.org/wiki/Robert_Cornall,41806993,1131301,2014-02-01,2006-01-25,2014,2006,Officer of the Order of Australia,Australia Day 2006 Honours List,G,"For service to the community through contributions to the development of public policy, particularly counter terrorism arrangements in a changing global security environment; and through providing advice and governance across a diverse range of responsibilities within the civil justice system.",Australian public servant,1,2006-01-25,2006,2014,2929,8,2014-W05,2006-W04,418
Robert Dickerson,Male,Yes,AO,NSW,2013-06-09,2013,Post,https://en.wikipedia.org/wiki/Robert_Dickerson,2918156,1147737,2005-10-16,2013-06-09,2005,2013,Officer of the Order of Australia,The Queen's Birthday 2013 Honours List,G,"For distinguished service to the visual arts as a figurative painter, and to the community through support for a range of cultural, medical research and social welfare organisations.",Australian artist (1924-2015),1,2013-06-09,2013,2005,-2793,-8,2005-W41,2013-W23,-399
Robert Doyle,Male,Yes,AC,VIC,2017-06-11,2017,Post,https://en.wikipedia.org/wiki/Robert_Doyle,894636,1769656,2004-08-12,2017-06-11,2004,2017,Companion of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For eminent service to the people of Melbourne through roles in local government, to the Parliament of Victoria, particularly in the areas of health and public administration, and to the community as a supporter of youth, social welfare and medical research foundations.",Australian politician,1,2017-06-11,2017,2004,-4686,-13,2004-W33,2017-W23,-670
Robert Evans (astronomer),Male,Yes,OAM,NSW,1988-01-25,1988,Pre,https://en.wikipedia.org/wiki/Robert_Evans_(astronomer),3628502,886182,2006-01-06,1988-01-25,2006,1988,Medal of the Order of Australia,Australia Day 1988 Honours List,G,"In recognition of service to science, particularly astronomy",Australian minister and amateur astronomer,1,2001-01-15,2001,2006,1817,5,2006-W01,2001-W03,259
Robert F. Willard,Male,Yes,AO,Other,2012-03-07,2012,Post,https://en.wikipedia.org/wiki/Robert_F._Willard,5711929,1144988,2006-06-26,2012-03-07,2006,2012,Officer of the Order of Australia,Honorary Military Award,HM,"For distinguished service to the military relationship between Australia and the United States of America as Commander, United States Pacific Command.",United States Navy admiral,1,2012-03-07,2012,2006,-2081,-6,2006-W26,2012-W10,-298
Robert Fordham,Male,Yes,AM,VIC,2013-01-25,2013,Post,https://en.wikipedia.org/wiki/Robert_Fordham,32048942,1146766,2011-06-11,2013-01-25,2011,2013,Member of the Order of Australia,Australia Day 2013 Honours List,G,"For significant service to the Parliament of Victoria, to education, to the Anglican Church in Australia, and to tourism and economic development.",Australian politician; Member of the Victorian Legislative Assembly; Deputy Premier of Victoria,1,2013-01-25,2013,2011,-594,-2,2011-W23,2013-W04,-85
Robert French,Male,Yes,AC,WA,2010-01-25,2010,Post,https://en.wikipedia.org/wiki/Robert_French,18641710,1141683,2008-07-30,2010-01-25,2008,2010,Companion of the Order of Australia,Australia Day 2010 Honours List,G,"For eminent service to the law and to the judiciary, to legal education and administration in the areas of constitutional, competition and native title law, and to legal reform.",Australian judge,1,2010-01-25,2010,2008,-544,-2,2008-W31,2010-W04,-78
Robert Gotterson,Male,Yes,AO,QLD,2014-01-25,2014,Post,https://en.wikipedia.org/wiki/Robert_Gotterson,40734444,1148837,2013-10-08,2014-01-25,2013,2014,Officer of the Order of Australia,Australia Day 2014 Honours List,G,"For distinguished service to the judiciary and to the law, to legal education, administration and professional standards through a range of senior roles, and to the community of Queensland.",Australian judge,1,2014-01-25,2014,2013,-109,-1,2013-W41,2014-W04,-16
Robert Gottliebsen,Male,Yes,AM,VIC,2018-06-10,2018,Post,https://en.wikipedia.org/wiki/Robert_Gottliebsen,28333631,2001416,2010-08-12,2018-06-10,2010,2018,Member of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For significant service to the print media as a journalist, editor and business analyst, and to education through school governance roles.",Australian journalist,1,2018-06-10,2018,2010,-2859,-8,2010-W32,2018-W23,-409
Robert H. T. Smith,Male,Yes,AM,NSW,1998-06-07,1998,Pre,https://en.wikipedia.org/wiki/Robert_H._T._Smith,47065653,881304,2015-06-24,1998-06-07,2015,1998,Member of the Order of Australia,The Queen's Birthday 1998 Honours List,G,"FOR SERVICE TO THE ADVANCEMENT OF TERTIARY EDUCATION, PARTICULARLY THROUGH THE AUSTRALIAN EDUCATION OFFICE IN NORTH AMERICA, THE AUSTRALIAN VICE-CHANCELLORS COMMITTEE, THE UNIVERSITY OF NEW ENGLAND AND THE UNIVERSITY OF WESTERN AUSTRALIA, AND TO GEOGRAPHY",Australian-Canadian geographer and academic administrator,1,2001-01-15,2001,2015,5273,14,2015-W26,2001-W03,753
Robert Hammond (field hockey),Male,Yes,OAM,QLD,2005-01-25,2005,Post,https://en.wikipedia.org/wiki/Robert_Hammond_(field_hockey),34990691,1057890,2006-02-12,2005-01-25,2006,2005,Medal of the Order of Australia,Australia Day 2005 Honours List,NA,For service to sport as a Gold Medallist at the Athens 2004 Olympic Games.,Australian male field hockey player,1,2005-01-25,2005,2006,383,1,2006-W06,2005-W04,54
Robert Hanbury Brown,Male,Yes,AC,NSW,1986-06-08,1986,Pre,https://en.wikipedia.org/wiki/Robert_Hanbury_Brown,1143649,886146,2004-11-08,1986-06-08,2004,1986,Companion of the Order of Australia,The Queen's Birthday 1986 Honours List,G,"In recognition of service to science, particularly in the field of stellar astronomy","British astronomer and physicist, born in India",1,2001-01-15,2001,2004,1393,3,2004-W46,2001-W03,199
Robert Hill (Australian politician),Male,Yes,AC,SA,2012-06-10,2012,Post,https://en.wikipedia.org/wiki/Robert_Hill_(Australian_politician),1013237,1145729,2004-09-24,2012-06-10,2004,2012,Companion of the Order of Australia,The Queen's Birthday 2012 Honours List,G,"For eminent service to the Parliament of Australia, particularly through the development of policy reform in the portfolios of the environment and defence, and to Australia's international relations through senior diplomatic representation to the United Nations.",Australian politician,1,2012-06-10,2012,2004,-2816,-8,2004-W39,2012-W23,-403
Robert Hughes (composer),Male,Yes,AO,SA,2005-01-25,2005,Post,https://en.wikipedia.org/wiki/Robert_Hughes_(composer),17916088,1057564,2008-06-13,2005-01-25,2008,2005,Officer of the Order of Australia,Australia Day 2005 Honours List,NA,"For service to the arts through music, particularly as a composer, and for the promotion of Australian music through representative organisations for musicians.",Australian composer (1912-2007),1,2005-01-25,2005,2008,1235,3,2008-W24,2005-W04,176
Robert Hughes (critic),Male,Yes,AO,Other,1991-06-09,1991,Pre,https://en.wikipedia.org/wiki/Robert_Hughes_(critic),776149,869791,2004-07-04,1991-06-09,2004,1991,Officer of the Order of Australia,The Queen's Birthday 1991 Honours List,G,For service to art and to the promotion of Australian culture.,"Australian critic, historian, and writer (1938–2012)",1,2001-01-15,2001,2004,1266,3,2004-W27,2001-W03,180
Robert Ingpen,Male,Yes,AM,VIC,2007-01-25,2007,Post,https://en.wikipedia.org/wiki/Robert_Ingpen,2171316,1133779,2005-07-05,2007-01-25,2005,2007,Member of the Order of Australia,Australia Day 2007 Honours List,G,"For service to literature as an illustrator and author of children's books, to art design and education, and as a supporter of health care organisations.",Australian artist and children's illustrator,1,2007-01-25,2007,2005,-569,-2,2005-W27,2007-W04,-82
Robert Jacks,Male,Yes,AO,VIC,2006-01-25,2006,Post,https://en.wikipedia.org/wiki/Robert_Jacks,10905676,1131311,2007-04-26,2006-01-25,2007,2006,Officer of the Order of Australia,Australia Day 2006 Honours List,G,"For service to Australian art as a painter, sculptor, printmaker and educator, and through support for emerging young artists.","Australian painter, sculptor and printmaker (1943-2014)",1,2006-01-25,2006,2007,456,1,2007-W17,2006-W04,65
Robert Jackson (UN administrator),Male,Yes,AC,Other,1986-06-08,1986,Pre,https://en.wikipedia.org/wiki/Robert_Jackson_(UN_administrator),5477261,882099,2006-06-08,1986-06-08,2006,1986,Companion of the Order of Australia,The Queen's Birthday 1986 Honours List,G,"For service to international relations, particularly as Under Secretary-General and Special Adviser to the united Nations Organisation.",Australian UN administrator (1911-1991),1,2001-01-15,2001,2006,1970,5,2006-W23,2001-W03,281
Robert Juniper,Male,Yes,AM,WA,2011-01-25,2011,Post,https://en.wikipedia.org/wiki/Robert_Juniper,11387527,1143464,2007-05-24,2011-01-25,2007,2011,Member of the Order of Australia,Australia Day 2011 Honours List,G,"For service to the visual arts, particularly as an Australian landscape painter and contemporary artist.",Australian artist (1929-2012),1,2011-01-25,2011,2007,-1342,-4,2007-W21,2011-W04,-192
Robert Klippel,Male,Yes,AO,NSW,1988-01-25,1988,Pre,https://en.wikipedia.org/wiki/Robert_Klippel,18958058,870346,2008-08-21,1988-01-25,2008,1988,Officer of the Order of Australia,Australia Day 1988 Honours List,G,"AO AD88. FOR SERVICE TO ART, PARTICULARLY SCULPTURE",Australian sculptor,1,2001-01-15,2001,2008,2775,7,2008-W34,2001-W03,396
Robert L. Joss,Male,Yes,AC,NSW,2016-01-25,2016,Post,https://en.wikipedia.org/wiki/Robert_L._Joss,19686717,1152653,2008-10-10,2016-01-25,2008,2016,Companion of the Order of Australia,Australia Day 2016 Honours List,G,"For eminent service to business and finance through executive roles with major banking institutions, and as a contributor to taxation policy and reform, to education as an academic and administrator, to professional organisations, and to the community.",American businessman,1,2016-01-25,2016,2008,-2663,-8,2008-W41,2016-W04,-381
Robert M. Douglas (doctor),Male,Yes,AO,ACT,2000-06-11,2000,Pre,https://en.wikipedia.org/wiki/Robert_M._Douglas_(doctor),7688902,1136573,2006-10-30,2000-06-11,2006,2000,Officer of the Order of Australia,The Queen's Birthday 2000 Honours List,G,"For service to medicine, particularly in the fields of epidemiology, public health research training and development, and the development of preventive measures for acute respiratory disease in children.",Australian doctor,1,2001-01-15,2001,2006,2114,5,2006-W44,2001-W03,302
